id,latitude,longitude,date_uploaded,sentiment
54865085334,51.521086,-0.072445,1760881686,-0.1
54865085369,51.521086,-0.072445,1760881687,-0.1
54865085389,51.521086,-0.072445,1760881687,-0.1
54865078228,51.521086,-0.072445,1760881687,-0.1
54865085334,51.521086,-0.072445,1760881686,-0.1
54856472372,51.526494,-0.077773,1760563322,-0.4
54851741109,51.524828,-0.077227,1760353163,-0.17
54849495023,51.52574,-0.081088,1760273491,-0.8
21850337354,51.525631,-0.083258,1760091480,-0.33
54862550774,51.517658,-0.082912,1760783038,-0.03
54832927460,51.526964,-0.074299,1759628190,-0.1
54825714103,51.527282,-0.078685,1759341122,-0.09
21850337354,51.525631,-0.083258,1760091480,-0.33
54839360300,51.522015,-0.083642,1759858792,-0.2
54838816690,51.522366,-0.086059,1759842847,-0.1
54803165859,51.51634,-0.0764,1758490104,-0.25
54802905188,51.517131,-0.067068,1758482989,-0.07
54799866550,51.517808,-0.083137,1758366240,-0.2
54696386556,51.523768,-0.08697,1758273355,-0.2
54795200287,51.523292,-0.068466,1758212285,-0.57
54795528956,51.525985,-0.081667,1758194962,-0.08
54794559513,51.529874,-0.072271,1758144077,-0.2
54814054008,51.529685,-0.076711,1758915936,-0.4
54811840380,51.525588,-0.083273,1758822189,-0.1
54811496071,51.525588,-0.083273,1758822190,-0.1
54810649642,51.525588,-0.083273,1758822190,-0.1
54810448797,51.518936,-0.078024,1758815527,-0.33
51203395912,51.5256,-0.083051,1758527298,-0.2
54802905188,51.517131,-0.067068,1758482989,-0.07
54810122645,51.518255,-0.081371,1758740850,-0.2
54807536340,51.5187,-0.061875,1758642444,-0.17
51203395912,51.5256,-0.083051,1758527298,-0.2
54803165859,51.51634,-0.0764,1758490104,-0.25
54802905188,51.517131,-0.067068,1758482989,-0.07
54799866550,51.517808,-0.083137,1758366240,-0.2
54799041393,51.521294,-0.073553,1758322397,-0.2
54795200287,51.523292,-0.068466,1758212285,-0.57
54795528956,51.525985,-0.081667,1758194962,-0.08
54795528951,51.525985,-0.081667,1758194963,-0.08
54794878690,51.523504,-0.068546,1758150249,-0.57
54794559513,51.529874,-0.072271,1758144077,-0.2
54791288925,51.525588,-0.083273,1758016921,-1.2
54791288890,51.525588,-0.083273,1758016922,-1.2
54773417677,51.529791,-0.069553,1757356345,-0.4
54772407922,51.524796,-0.085403,1757327013,-0.08
54773492513,51.524643,-0.086594,1757327014,-0.08
54772277152,51.525263,-0.086764,1757320534,-0.4
54773361703,51.525769,-0.08277,1757320534,-0.2
54772595895,51.525605,-0.083259,1757285333,-0.33
54772498373,51.525605,-0.083259,1757285335,-0.04
54772407922,51.524796,-0.085403,1757327013,-0.08
54773492513,51.524643,-0.086594,1757327014,-0.08
54773361828,51.525269,-0.08685,1757320533,-0.38
54772277152,51.525263,-0.086764,1757320534,-0.4
54773361703,51.525769,-0.08277,1757320534,-0.2
54749241705,51.51811,-0.079554,1756327780,-0.63
54747696086,51.525605,-0.083259,1756284210,-1.2
54738836256,51.523795,-0.074869,1755941659,-0.4
54739197365,51.523795,-0.074869,1755941657,-0.4
54739070304,51.523795,-0.074869,1755941659,-0.4
54739070254,51.523802,-0.075361,1755941660,-0.06
54739070184,51.523768,-0.077099,1755941661,-0.04
54739052858,51.523768,-0.077099,1755941662,-0.04
54755169366,51.520672,-0.069398,1756601628,-0.05
54755500710,51.520282,-0.071574,1756601628,-0.1
54739053178,51.523795,-0.074869,1755941657,-0.4
54739070374,51.523795,-0.074869,1755941658,-0.4
54739197365,51.523795,-0.074869,1755941657,-0.4
54739070304,51.523795,-0.074869,1755941659,-0.4
54739053098,51.523802,-0.075361,1755941660,-0.15
