index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
192,1,170126,11295500,73986,45.432307,12.357851,0,510,-21.31,8.02,-1,260117,12295500,0.984
193,1,170126,11295600,74416,45.432306,12.357856,0,511,-20.11,2.8,-1,260117,12295600,0.97
194,1,170126,11295600,74815,45.432306,12.357856,0.72,513,-17.92,5.47,-1,260117,12295600,0.975
195,1,170126,11295700,75214,45.432308,12.357859,0.72,514,-16.76,2.93,-1,260117,12295700,0.96
196,1,170126,11295700,75614,45.432308,12.357859,0,515,-15.6,2.89,-1,260117,12295700,0.938
197,1,170126,11295700,76012,45.432308,12.357859,0,517,-13.46,5.37,-1,260117,12295700,0.935
198,1,170126,11295800,76414,45.432309,12.357862,0,518,-12.34,2.8,-1,260117,12295800,0.915
199,1,170126,11295800,76813,45.432309,12.357862,0,519,-11.22,2.79,-1,260117,12295800,0.886
200,1,170126,11295900,77212,45.432314,12.357863,0,520,-10.12,2.76,-1,260117,12295900,0.857
201,1,170126,11295900,77612,45.432314,12.357863,0,521,-9.03,2.73,-1,260117,12295900,0.829
202,1,170126,11295900,78009,45.432314,12.357863,0,521,-8.94,0.23,-1,260117,12295900,0.793
203,1,170126,11300000,78410,45.432318,12.357865,0,521,-8.85,0.22,-1,260117,12300000,0.752
204,1,170126,11300000,78808,45.432318,12.357865,0,519,-10.74,-4.75,-1,260117,12300000,0.768
205,1,170126,11300100,79208,45.432323,12.357865,0,519,-10.63,0.27,-1,260117,12300100,0.765
206,1,170126,11300100,79608,45.432323,12.357865,0,517,-12.51,-4.68,-1,260117,12300100,0.784
207,1,170126,11300100,80007,45.432323,12.357865,0,516,-13.37,-2.17,-1,260117,12300100,0.784
208,1,170126,11300200,80410,45.432331,12.357865,0,516,-13.24,0.33,-1,260117,12300200,0.77
209,1,170126,11300200,80812,45.432331,12.357865,0,516,-13.11,0.33,-1,260117,12300200,0.746
210,1,170126,11300300,81211,45.432335,12.357864,0,517,-11.99,2.81,-1,260117,12300300,0.75
211,1,170126,11300300,81641,45.432335,12.357864,0,517,-11.87,0.28,-1,260117,12300300,0.74
212,1,170126,11300300,82039,45.432335,12.357864,0,517,-11.75,0.3,-1,260117,12300300,0.719
213,1,170126,11300400,82439,45.432337,12.357862,0,519,-9.65,5.24,-1,260117,12300400,0.746
214,1,170126,11300400,82839,45.432337,12.357862,0,523,-5.59,10.14,-1,260117,12300400,0.784
215,1,170126,11300500,83238,45.432339,12.35786,0,525,-3.56,5.1,-1,260117,12300500,0.798
216,1,170126,11300500,83637,45.432339,12.35786,0,526,-2.53,2.57,-1,260117,12300500,0.795
217,1,170126,11300500,84034,45.432339,12.35786,0,527,-1.52,2.56,-1,260117,12300500,0.778
218,1,170126,11300600,84433,45.432341,12.357859,0,525,-3.48,-4.92,-1,260117,12300600,0.771
219,1,170126,11300600,84834,45.432341,12.357859,0,527,-1.47,5.02,-1,260117,12300600,0.757
220,1,170126,11300700,85232,45.432341,12.357858,0,527,-1.45,0.04,-1,260117,12300700,0.734
221,1,170126,11300700,85631,45.432341,12.357858,0,526,-2.43,-2.44,-1,260117,12300700,0.703
222,1,170126,11300700,86029,45.432341,12.357858,0,525,-3.39,-2.43,-1,260117,12300700,0.679
223,1,170126,11300800,86429,45.432342,12.357857,0,525,-3.36,0.08,-1,260117,12300800,0.649
224,1,170126,11300800,86829,45.432342,12.357857,0,525,-3.33,0.08,-1,260117,12300800,0.615
225,1,170126,11300900,87231,45.432342,12.357856,0,522,-6.26,-7.31,-1,260117,12300900,0.67
226,1,170126,11300900,87631,45.432342,12.357856,0,514,-14.12,-19.64,-1,260117,12300900,0.719
227,1,170126,11300900,88031,45.432342,12.357856,0,504,-23.88,-24.4,-1,260117,12300900,0.761
228,1,170126,11301000,88433,45.432343,12.357855,0,498,-29.58,-14.18,-1,260117,12301000,0.797
229,1,170126,11301000,88834,45.432343,12.357855,0,493,-34.23,-11.61,-1,260117,12301000,0.827
230,1,170126,11301100,89267,45.432343,12.357854,0,491,-35.87,-3.78,-1,260117,12301100,0.853
231,1,170126,11301100,89668,45.432343,12.357854,0,492,-34.52,3.36,-1,260117,12301100,0.875
232,1,170126,11301100,90066,45.432343,12.357854,0,491,-35.17,-1.62,-1,260117,12301100,0.894
233,1,170126,11301200,90467,45.432344,12.357854,0,487,-38.78,-9,-1,260117,12301200,0.91
234,1,170126,11301200,90867,45.432344,12.357854,0,490,-35.42,8.39,-1,260117,12301200,0.923
235,1,170126,11301300,91269,45.432354,12.357857,0,491,-34.07,3.34,-1,260117,12301300,0.935
236,1,170126,11301300,91668,45.432354,12.357857,2.34,493,-31.75,5.82,-1,260117,12301300,0.945
237,1,170126,11301300,92066,45.432354,12.357857,2.34,495,-29.46,5.77,-1,260117,12301300,0.953
238,1,170126,11301400,92466,45.432355,12.357856,2.34,496,-28.17,3.21,-1,260117,12301400,0.96
239,1,170126,11301400,92865,45.432355,12.357856,0,497,-26.9,3.19,-1,260117,12301400,0.966
240,1,170126,11301500,93267,45.432356,12.357855,0,498,-25.64,3.13,-1,260117,12301500,0.967
241,1,170126,11301500,93666,45.432356,12.357855,0,498,-25.38,0.64,-1,260117,12301500,0.95
242,1,170126,11301500,94068,45.432356,12.357855,0,497,-26.12,-1.83,-1,260117,12301500,0.945
243,1,170126,11301600,94469,45.432358,12.357854,0,496,-26.85,-1.82,-1,260117,12301600,0.942
244,1,170126,11301600,94868,45.432358,12.357854,0,494,-28.56,-4.29,-1,260117,12301600,0.951
245,1,170126,11301700,95271,45.432355,12.357853,0,493,-29.27,-1.75,-1,260117,12301700,0.951
246,1,170126,11301700,95671,45.432355,12.357853,1.24,492,-29.96,-1.74,-1,260117,12301700,0.952
247,1,170126,11301700,96070,45.432355,12.357853,1.24,491,-30.65,-1.73,-1,260117,12301700,0.954
248,1,170126,11301800,96501,45.432358,12.357851,1.24,487,-34.31,-8.48,-1,260117,12301800,0.96
249,1,170126,11301800,96900,45.432358,12.357851,0,483,-37.92,-9.07,-1,260117,12301800,0.966
250,1,170126,11301900,97303,45.43236,12.357848,0,478,-42.49,-11.34,-1,260117,12301900,0.971
251,1,170126,11301900,97704,45.43236,12.357848,0,475,-45.04,-6.35,-1,260117,12301900,0.976
252,1,170126,11301900,98103,45.43236,12.357848,0,474,-45.58,-1.35,-1,260117,12301900,0.979
253,1,170126,11302000,98504,45.432361,12.357846,0,475,-44.13,3.61,-1,260117,12302000,0.982
254,1,170126,11302000,98902,45.432361,12.357846,0,480,-38.74,13.55,-1,260117,12302000,0.985
255,1,170126,11302100,99302,45.432362,12.357845,0,480,-38.35,0.97,-1,260117,12302100,0.98
256,1,170126,11302100,99704,45.432362,12.357845,0,479,-38.96,-1.51,-1,260117,12302100,0.98
257,1,170126,11302100,100103,45.432362,12.357845,0,477,-40.55,-3.99,-1,260117,12302100,0.983
258,1,170126,11302200,100505,45.432362,12.357844,0,475,-42.13,-3.92,-1,260117,12302200,0.986
259,1,170126,11302200,100909,45.432362,12.357844,0,474,-42.69,-1.41,-1,260117,12302200,0.988
260,1,170126,11302300,101310,45.432363,12.357843,0,474,-42.27,1.06,-1,260117,12302300,0.985
261,1,170126,11302300,101713,45.432363,12.357843,0,475,-40.85,3.51,-1,260117,12302300,0.987
262,1,170126,11302300,102112,45.432363,12.357843,0,476,-39.46,3.51,-1,260117,12302300,0.989
263,1,170126,11302400,102513,45.432363,12.357843,0,476,-39.06,0.98,-1,260117,12302400,0.977
264,1,170126,11302400,102913,45.432363,12.357843,0,477,-37.68,3.45,-1,260117,12302400,0.98
265,1,170126,11302500,103313,45.432364,12.357843,0,476,-38.29,-1.53,-1,260117,12302500,0.971
266,1,170126,11302500,103747,45.432364,12.357843,0,478,-35.93,5.44,-1,260117,12302500,0.975
267,1,170126,11302600,104147,45.432366,12.357844,0,482,-31.61,10.8,-1,260117,12302600,0.979
268,1,170126,11302600,104549,45.432366,12.357844,0,481,-32.29,-1.68,-1,260117,12302600,0.964
269,1,170126,11302600,104949,45.432366,12.357844,0,482,-30.97,3.28,-1,260117,12302600,0.955
270,1,170126,11302700,105350,45.432366,12.357843,0,478,-34.62,-9.1,-1,260117,12302700,0.962
271,1,170126,11302700,105754,45.432366,12.357843,0,475,-37.25,-6.49,-1,260117,12302700,0.967
272,1,170126,11302800,106155,45.432367,12.357843,0,471,-40.83,-8.95,-1,260117,12302800,0.972
273,1,170126,11302800,106557,45.432367,12.357843,0,471,-40.43,1.02,-1,260117,12302800,0.959
274,1,170126,11302800,106956,45.432367,12.357843,0,472,-39.03,3.49,-1,260117,12302800,0.963
275,1,170126,11302900,107357,45.432369,12.357842,0,473,-37.65,3.44,-1,260117,12302900,0.962
276,1,170126,11302900,107764,45.432369,12.357842,0,474,-36.29,3.36,-1,260117,12302900,0.959
277,1,170126,11303000,108164,45.432369,12.357841,0,475,-34.93,3.38,-1,260117,12303000,0.954
278,1,170126,11303000,108565,45.432369,12.357841,0,475,-34.58,0.87,-1,260117,12303000,0.933
279,1,170126,11303000,108964,45.432369,12.357841,0,476,-33.25,3.35,-1,260117,12303000,0.929
280,1,170126,11303100,109364,45.43237,12.357841,0,477,-31.92,3.31,-1,260117,12303100,0.922
281,1,170126,11303100,109767,45.43237,12.357841,0,479,-29.63,5.71,-1,260117,12303100,0.93
282,1,170126,11303200,110167,45.43237,12.35784,0,480,-28.34,3.22,-1,260117,12303200,0.919
283,1,170126,11303200,110568,45.43237,12.35784,0,481,-27.07,3.18,-1,260117,12303200,0.905
284,1,170126,11303200,110996,45.43237,12.35784,0,483,-24.82,5.26,-1,260117,12303200,0.905
285,1,170126,11303300,111397,45.432371,12.35784,0,485,-22.59,5.56,-1,260117,12303300,0.903
286,1,170126,11303300,111800,45.432371,12.35784,0,486,-21.37,3.02,-1,260117,12303300,0.885
287,1,170126,11303400,112200,45.432372,12.357839,0,487,-20.17,3.01,-1,260117,12303400,0.862
288,1,170126,11303400,112601,45.432372,12.357839,0,488,-18.98,2.97,-1,260117,12303400,0.84
289,1,170126,11303400,113000,45.432372,12.357839,0,488,-18.79,0.48,-1,260117,12303400,0.809
290,1,170126,11303500,113401,45.432372,12.357838,0,489,-17.61,2.94,-1,260117,12303500,0.793
291,1,170126,11303500,113801,45.432372,12.357838,0,490,-16.44,2.92,-1,260117,12303500,0.777
292,1,170126,11303600,114207,45.432373,12.357838,0,490,-16.28,0.4,-1,260117,12303600,0.751
293,1,170126,11303600,114608,45.432373,12.357838,0,489,-17.1,-2.06,-1,260117,12303600,0.736
294,1,170126,11303600,115008,45.432373,12.357838,0,490,-15.94,2.9,-1,260117,12303600,0.73
295,1,170126,11303700,115408,45.432374,12.357837,0,490,-15.78,0.4,-1,260117,12303700,0.712
296,1,170126,11303700,115808,45.432374,12.357837,0,492,-13.65,5.34,-1,260117,12303700,0.727
